English,Español
Sequence alignments,Alineamiento de secuencias
Clades,Clados
Basic phylogenetics with phruta,Filogenetica basica con phruta
Under construction,En construccion
Test,Test
Change language,Cambiar idioma
Language:,Lenguaje:
Home,Inicio
Please input your target species and clades below,Porfavor ingrese sus especies y clados de interes
Species,Especies
Please input your target genes below,Porfavor ingrese los genes de interes
Find genes?,Encontrar genes?
Target genes,Genes de interes
Enter text...,Ingrese texto...
List of taxa,Lista de taxones
Click to see inputs !,Click para ver opciones!
Threshold find genes,Limite para encontrar genes
Select additional genes,Seleccionar genes adicionales
3. Tasks,3. Procesos
Retrieve,Descargar
Curate,Curar
Align,Alinear
Mask,Enmascarar